filename,text,language,audio_duration,audio_duration_group
5852398e-648d-40ee-bd37-68709a8ab8f1.wav,The quick brown fox jumps over the lazy dog in the sunny meadow today.,en,3.440625,6sec
7a59fd14-3a78-4892-b2da-142a8d21e7d2.wav,Technology is rapidly changing the way we communicate and work in modern society.,en,4.880625,6sec
3bcbae46-2323-4eeb-9b03-f2c41b8300cb.wav,"Beautiful flowers bloom in spring gardens, bringing joy and color to our world.",en,4.120625,6sec
1c6c398e-77c4-477e-953b-ebdf547989ba.wav,"Learning new skills requires patience, practice, and dedication to achieve success and growth.",en,5.120625,6sec
2ec6519d-9eaa-4724-bc0e-d2052f2ab5c8.wav,"Ocean waves crash against the rocky shore, creating a peaceful and calming natural sound.",en,4.800625,6sec
241777a9-f98b-4672-8f61-523a20ac2994.wav,Scientists are discovering new methods to solve complex problems using artificial intelligence and machine learning.,en,5.920625,6sec
43292393-56f4-4bd1-867d-fd1fce3da55d.wav,"Children love to play outside during summer vacation, exploring nature and making new friends.",en,4.720625,6sec
903179ff-b339-4621-9363-7ed73de4d099.wav,"The library contains thousands of books filled with knowledge, stories, and adventures waiting to be discovered.",en,5.760625,6sec
364b2484-e077-4e63-9389-d91e9e93af97.wav,Music has the power to inspire emotions and bring people together across different cultures.,en,5.040625,6sec
fc7524b8-12be-42e0-8321-4c89558b464f.wav,Cooking delicious meals for family and friends creates wonderful memories and strengthens bonds between people.,en,5.360625,6sec
11a0286a-e860-4f97-b010-7a2d92ecc27b.wav,"In the heart of the bustling city, a hidden rooftop garden provides a tranquil oasis for residents, offering a stunning panoramic view of the urban landscape and a peaceful retreat from the noise below.",en,10.120625,15sec
7fa70c72-aa1e-454f-8460-198c75e5a11e.wav,"Exploring the ancient ruins of a lost civilization, archaeologists uncovered intricate pottery and mysterious artifacts that whisper tales of a vibrant culture and their sophisticated understanding of astronomy.",en,11.400625,15sec
